guid,verb,verb_hiragana,verb_romaji,verb_1,verb_1_hiragana,verb_1_romaji,verb_2,verb_2_hiragana,verb_2_romaji,transitivity,pattern,meaning,meaning_en,meaning_ko,nlb_link,structure
DR*_8s_-v~,売り下げる,うりさげる,urisageru,売る,うる,uru,下げる,さげる,sageru,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>政府から民間に売る。払い下げる。</p><ul><li><p>政府が土地を民間に売り下げた。 (Seifu ga tochi o minkan ni urisageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To sell government property to the private sector.</p><ul><li><p>The government sold the land to the private sector.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>정부에서 민간에 팔다. 불하하다.</p><ul><li><p>정부가 토지를 민간에 불하했다.</p></li></ul></li></ol>",,Vs
L*_Ob)3S>$,売りさばく,うりさばく,urisabaku,売る,うる,uru,さばく,さばく,sabaku,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（売れ残りがないように）うまく売る。</p><ul><li><p>彼はコンサートのチケットを売りさばいた。 (Kare wa konsāto no chiketto o urisabaita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To sell cleverly (so as to leave nothing unsold).</p><ul><li><p>He sold off all of the concert tickets.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(팔다 남는 상품이 없도록) 요령 있게 팔다.</p><ul><li><p>남자는 콘서트 티켓을 솜씨 좋게 팔아 치웠다.</p></li></ul></li></ol>",V.05978,VV
KgLS7@d5o2,売り渋る,うりしぶる,urishiburu,売る,うる,uru,渋る,しぶる,shiburu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>売るのを控える。ためらって、なかなか売らない。</p><ul><li><p>投資家はＡ社の株を売り渋った。 (Tōshika wa ei sha no kabu o urishibutta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To refrain from selling. To hesitate to sell.</p><ul><li><p>The investor hesitated to sell A Corporation stocks.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>팔기를 꺼리다. 주저하여, 좀처럼 팔지 않다.</p><ul><li><p>투자가는 Ａ사 주식을 파는 것을 꺼려했다.</p></li></ul></li></ol>",V.20414,Vs
h1Z:c#EPf,売り出す,うりだす,uridasu,売る,うる,uru,出す,だす,dasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>新商品を市場に出す。</p><ul><li><p>Ｓ社は新商品を売り出した。 (S-sha wa shinshōhin o uridashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To put new products on the market.</p><ul><li><p>S Ltd. has launched a new product.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>신상품을 시장에 내놓다.</p><ul><li><p>Ｓ사는 신상품을 팔기 시작했다.</p></li></ul></li></ol>",V.02764,VV
PTqChM/Y%A,売り付ける,うりつける,uritsukeru,売る,うる,uru,付ける,つける,tsukeru,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>無理に押し付けて売る。</p><ul><li><p>彼らに商品を高額で売り付けた。 (Karera ni shōhin o kōgaku de uritsuketa.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To sell something forcibly.</p><ul><li><p>I strong-armed them into buying the merchandise at high prices.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>무리하게 강요하여 팔다.</p><ul><li><p>그들은 상품을 고액에 강매했다.</p></li></ul></li></ol>",V.04343,Vs
LV!g#$%o^),売り飛ばす,うりとばす,uritobasu,売る,うる,uru,飛ばす,とばす,tobasu,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>安い値段で売り払う。</p><ul><li><p>私はいつも読み終わった本をリサイクルショップに売り飛ばす。 (Watashi wa itsumo yomiowatta hon o risaikuru shoppu ni uritobasu.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To get rid of by selling cheaply.</p><ul><li><p>I always just sell off books that I've finished to the second-hand store.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>싼 가격에 팔아치우다.</p><ul><li><p>나는 항상 다 읽은 책을 재활용 가게에 팔아 치운다.</p></li></ul></li></ol>",V.07008,Vs
"BC,R=*a!C2",売り払う,うりはらう,uriharau,売る,うる,uru,払う,はらう,harau,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>思い切って売ってしまう。</p><ul><li><p>彼女は家を売り払って、世界をめぐる旅に出た。 (Kanojo wa ie o uriharatte, sekai o meguru tabi ni deta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To take the big step of selling something.</p><ul><li><p>She sold off her house and set off on a journey around the world.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>과감하게 팔아 버리다.</p><ul><li><p>여자는 집을 팔아 치우고, 세계를 돌아다니는 여행에 나섰다.</p></li></ul></li></ol>",V.04591,Vs
GuGK5vBc$n,売り広げる,うりひろげる,urihirogeru,売る,うる,uru,広げる,ひろげる,hirogeru,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>広く世間に売る。</p><ul><li><p>その会社は新しい製品を売り広げた。 (Sono kaisha wa atarashii seihin o urihirogeta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To sell widely to the public.</p><ul><li><p>That company started selling its new product widely.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>널리 세간에 팔다.</p><ul><li><p>그 회사는 새로운 제품의 판매를 확대했다.</p></li></ul></li></ol>",,Vs
cN4U>k|2/8,売り回る,うりまわる,urimawaru,売る,うる,uru,回る,まわる,mawaru,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>あちこち売って回る。</p><ul><li><p>私は作った農作物を売り回った。 (Watashi wa tsukutta nōsakubutsu o urimawatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To go around selling.</p><ul><li><p>I made the rounds selling my fresh produce.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>여기저기 팔고 다니다.</p><ul><li><p>나는 내가 키운 농작물을 팔고 다녔다 .</p></li></ul></li></ol>",V.16524,VV
eX<kgG4X_~,売り渡す,うりわたす,uriwatasu,売る,うる,uru,渡す,わたす,watasu,他,(1)N1ガ|N2ヲ|N3ニ/ヘ；(2)N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""""><li><p>所有物を他人に売って渡す。</p><ul><li><p>彼はビルを業者に売り渡した。 (Kare wa biru o gyōsha ni uriwatashita.)</p></li></ul></li><li><p>自分の利益のために仲間を敵に渡す。</p><ul><li><p>悪魔に魂を売り渡した殺人者 (Akuma ni tamashii o uriwatashita satsujinsha)</p></li></ul></li></ol>","<ol style=""""><li><p>To transfer one's belongings to others by selling them.</p><ul><li><p>He sold the building to a contractor.</p></li></ul></li><li><p>To hand one's friends over to an enemy for personal gain.</p><ul><li><p>A murderer who has sold his soul to the devil</p></li></ul></li></ol>","<ol style=""""><li><p>소유물을 남에게 팔아 넘기다.</p><ul><li><p>그는 빌딩을 업자에게 팔아 넘겼다.</p></li></ul></li><li><p>자신의 이익을 위해서 동료를 적에게 넘기다.</p><ul><li><p>악마에게 혼을 팔아 넘긴 살인자</p></li></ul></li></ol>",V.04726,VV
C~pR<x{:<t,売れ残る,うれのこる,urenokoru,売れる,うれる,ureru,残る,のこる,nokoru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>売れずに残る。</p><ul><li><p>売れ残った食品はすべて処分しなければならない。 (Urenokotta shokuhin wa subete shobun shinakere ba naranai.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To remain unsold.</p><ul><li><p>We have to dispose of all foodstuffs left unsold.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>팔리지 않고 남다.</p><ul><li><p>팔리지 않고 남은 식품은 전부 처분하지 않으면 안된다.</p></li></ul></li></ol>",V.05255,Vs
I[fv?vDn/=,描き込む,えがきこむ,egakikomu,描く,えがく,egaku,込む,こむ,komu,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>描いて入れる。</p><ul><li><p>この絵は、ゴッホが自分自身を描き込んでいる。 (Kono e wa, gohho ga jibun jishin o kakikonde iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To draw into.</p><ul><li><p>Van Gogh has painted himself into this picture.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>그려 넣다.</p><ul><li><p>이 그림은, 고흐가 자기 자신을 그려넣은 것이다.</p></li></ul></li></ol>",,VV
bjSZiu9m>y,描き出す,えがきだす,egakidasu,描く,えがく,egaku,出す,だす,dasu,他,N1ガ|N2ヲ：N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（抽象的なものを）文章や絵で表現する。</p><ul><li><p>その作家は日本の将来像を描き出した。 (Sono sakka wa nihon no shōraizō o egakidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To express in writing or pictures (something abstract).</p><ul><li><p>That writer painted a picture of Japan's future.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(추상적인 것을) 문장이나 그림으로 표현하다.</p><ul><li><p>그 작가는 일본의 미래상을 그려내었다.</p></li></ul></li></ol>",V.02537,VV
He/yXfrD7P,えぐり込む,えぐりこむ,egurikomu,えぐる,えぐる,eguru,込む,こむ,komu,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>えぐるように入る。</p><ul><li><p>刀が柱にえぐり込んだ。 (Katana ga hashira ni egurikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To enter by boring.</p><ul><li><p>The sword bored a hole in the pillar.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>도려낼 듯이 들어가다.</p><ul><li><p>칼이 기둥에 박혀 들어갔다.</p></li></ul></li></ol>",V.15437,VV
qU|I)!}?QG,えぐり出す,えぐりだす,eguridasu,えぐる,えぐる,eguru,出す,だす,dasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>えぐって外に出す。</p><ul><li><p>彼は社会の闇をえぐりだした。 (Kare wa shakai no yami o eguridashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To gouge out.</p><ul><li><p>He cut to the heart of the dark aspects of society.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>파서 밖으로 꺼내다.</p><ul><li><p>그 남자는 회사의 암거래를 파헤쳐냈다.</p></li></ul></li></ol>",V.08074,VV
g~N[]{BjcG,えぐり取る,えぐりとる,eguritoru,えぐる,えぐる,eguru,取る,とる,toru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>えぐって取る。</p><ul><li><p>彼女はメロンの果肉をえぐり取った。 (Kanojo wa meron no kaniku o eguritotta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To remove by gouging.</p><ul><li><p>She scraped the fruit of the melon out of the rind.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>도려내다.</p><ul><li><p>그 여자는 멜론의 과육을 도려내었다.</p></li></ul></li></ol>",V.09314,VV
K#6|cnq1p_,選び出す,えらびだす,erabidasu,選ぶ,えらぶ,erabu,出す,だす,dasu,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>選んで取り出す。</p><ul><li><p>審査員たちは、1、000人の応募者の中から10人の候補者を選び出した。 (Shinsaintachi wa, sennin no ōbosha no naka kara jūnin no kōhosha o erabidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To choose and remove.</p><ul><li><p>The judges selected ten candidates out of the thousand applicants.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>골라서 추려내다.</p><ul><li><p>심사원들은 1000명의 응모자 중에서 10명의 후보자를 추려 내었다.</p></li></ul></li></ol>",V.04291,VV
I;73dP188[,選び取る,えらびとる,erabitoru,選ぶ,えらぶ,erabu,取る,とる,toru,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>選んで取る。</p><ul><li><p>彼は畑から熟したブドウを選び取った。 (Kare wa hatake kara jukusushita budō o erabitotta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To select and take.</p><ul><li><p>He harvested the ripe grapes from the field.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>골라내다.</p><ul><li><p>그 남자는 밭에서 잘 익은 포도를 골라냈다.</p></li></ul></li></ol>",V.06250,VV
kze~YY%g^$,選び抜く,えらびぬく,erabinuku,選ぶ,えらぶ,erabu,抜く,ぬく,nuku,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>沢山の中から選んで抜き出す。</p><ul><li><p>彼は極上のワインを選び抜いた。 (Kare wa gokujō no wain o erabinuita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To select out of many possibilities and pull one out.</p><ul><li><p>He carefully selected the very best wine.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>많은 것 중에서 골라서 뽑아 내다.</p><ul><li><p>그는 최상의 와인을 선별해 냈다.</p></li></ul></li></ol>",V.07815,VV
Dg;l#lz2d2,選り抜く,えりぬく,erinuku,選る,える,eru,抜く,ぬく,nuku,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>沢山の中から選んで抜き出す。</p><ul><li><p>タイムの速い選手を選り抜いた。 (Taimu no hayai senshu o yorinuita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To select out of many possibilities and pull one out.</p><ul><li><p>I selected the athletes with the fastest times.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>많은 것 중에서 골라서 뽑아 내다.</p><ul><li><p>기록이 빠른 선수를 선발했다.</p></li></ul></li></ol>",,VV
EH!msX$Q/x,選り分ける,えりわける,eriwakeru,選る,える,eru,分ける,わける,wakeru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>一定の基準に合うものと合わないものに分ける。</p><ul><li><p>作業員は良品と不良品を選り分けた。 (Sagyōin wa ryōhin to furyōhin o yoriwaketa.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To sort a group into those things that meet set standards and those that don't.</p><ul><li><p>The workers sorted the products into good ones and defective ones.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>일정의 기준에 맞는 것과 맞지 않는 것을 나누다.</p><ul><li><p>작업원은 합격품과 불량품을 가려 냈다.</p></li></ul></li></ol>",,VV
bkHe[00%>=,追い上げる,おいあげる,oiageru,追う,おう,ou,上げる,あげる,ageru,他,(1)N1ガ|N2ヲ|N3ニ；(2)N1ガ|N2ヲ|N3ニ,"<ol style=""""><li><p>獲物などを追って高い所に行かせる。</p><ul><li><p>犬がリスを木の上に追い上げた。 (Inu ga risu o ki no ue ni oiageta.)</p></li></ul></li><li><p>追って、相手との距離を縮める。</p><ul><li><p>後続ランナーが先頭ランナーを３秒差に追い上げた。 (Kōzoku rannā ga sentō rannā o sanbyōsa ni oiageta.)</p></li></ul></li></ol>","<ol style=""""><li><p>To chase prey up to a high place.</p><ul><li><p>The dog chased the squirrel up the tree.</p></li></ul></li><li><p>To shrink the distance between oneself and another by chasing.</p><ul><li><p>The second runner is catching up to the lead runner, and now there is only a three-second gap.</p></li></ul></li></ol>","<ol style=""""><li><p>먹이 등을 쫓아 높은 곳으로 가게 하다.</p><ul><li><p>개가 다람쥐를 나무 위로 몰았다.</p></li></ul></li><li><p>쫓아가, 상대와의 거리를 좁히다.</p><ul><li><p>후속 주자가 선두 주자를 3초차로 바짝 쫓아갔다.</p></li></ul></li></ol>",V.06001,VV
EyUc=S(9Tw,追い入れる,おいいれる,oiireru,追う,おう,ou,入れる,いれる,ireru,他,N1ガ|N2ヲ|N3ニ：N1ガ|N2ヲ|N3カラ|Nヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>追って、中に入らせる。</p><ul><li><p>猫を部屋の隅に追い入れた。 (Neko o heya no sumi ni oiireta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To chase something inside.</p><ul><li><p>I chased the cat into the corner of the room.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>쫓아서, 안으로 들어가게 하다.</p><ul><li><p>고양이를 방 구석으로 몰아 넣었다.</p></li></ul></li></ol>",,VV
"fDW.Vp{xX,",追い落とす,おいおとす,oiotosu,追う,おう,ou,落とす,おとす,otosu,他,N1ガ|N2ヲ|N3カラ：N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（上位のものをその地位から）追い払う。</p><ul><li><p>民衆が支配者を追い落とした。 (Minshū ga shihaisha o oiotoshita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To chase off (from its position something that has a high status).</p><ul><li><p>The people chased the ruler out of office.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(높은 자리에 있는 사람을 그 지위에서) 몰아내다.</p><ul><li><p>민중이 지배자를 몰아내었다.</p></li></ul></li></ol>",V.06435,VV
G!HgkmTHRm,追い返す,おいかえす,oikaesu,追う,おう,ou,返す,かえす,kaesu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（来た人を）追い払うように帰らせる。</p><ul><li><p>彼は酒に酔った男を追い返した。 (Kare wa sake ni yotta otoko o oikaeshita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To make someone (who has arrived) go home by chasing them away.</p><ul><li><p>He turned away the drunken man.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(온 사람을) 쫓아내듯이 돌려보내다.</p><ul><li><p>그는 술에 취한 남자를 쫓아 내었다.</p></li></ul></li></ol>",V.04344,VV
p}1D.Y8mo[,追い掛ける,おいかける,oikakeru,追う,おう,ou,掛ける,かける,kakeru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>先に行くものをつかまえようとして、後を追う。</p><ul><li><p>警官がスリを追い掛けた。 (Keikan ga suri o oikaketa.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To follow something that is moving ahead with the intention of catching it.</p><ul><li><p>The police chased after the pickpocket.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>앞에 가는 것을 잡으려고, 뒤를 쫓다.</p><ul><li><p>경관이 소매치기를 뒤쫓았다.</p></li></ul></li></ol>",V.00894,Vs
iHb~&4/0@v,追い越す,おいこす,oikosu,追う,おう,ou,越す,こす,kosu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（遅れていたものが）後から追って行って、その前に出る。</p><ul><li><p>車が自転車を追い越した。 (Kuruma ga jitensha o oikoshita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(For something that was behind) to set off in pursuit afterwards, and come in front of.</p><ul><li><p>The car overtook the bicycle.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(뒤쳐져있던 것이) 뒤에서 쫓아가, 그 앞으로 나가다.</p><ul><li><p>자동차가 자전거를 추월했다.</p></li></ul></li></ol>",V.02705,VV
luT:bFezx%,追い込む,おいこむ,oikomu,追う,おう,ou,込む,こむ,komu,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>追って、中に入れる。</p><ul><li><p>彼は鶏をかごに追い込んだ。 (Kare wa tori o kagoni oikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To chase and put inside.</p><ul><li><p>He chased the chicken into the cage.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>몰아서, 안으로 넣다.</p><ul><li><p>그 남자는 닭을 우리에 몰아 넣었다.</p></li></ul></li></ol>",V.01263,VV
lQwMW?iUvR,老い込む,おいこむ,oikomu,老いる,おいる,oiru,込む,こむ,komu,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すっかり老いぼれる。</p><ul><li><p>彼はすっかり老い込んだ。 (Kare wa sukkari oikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To become quite old.</p><ul><li><p>He has really aged into an old man.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 늙어버리다.</p><ul><li><p>그 사람은 폭삭 늙어 버렸다.</p></li></ul></li></ol>",V.01263,Vs
iq6/yZD;4,生い茂る,おいしげる,oishigeru,生う,おう,ou,茂る,しげる,shigeru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（草木が）よく茂る。</p><ul><li><p>草が生い茂っている。 (Kusa ga oishigette iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(For plants) to be very dense.</p><ul><li><p>The grass is overgrown.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(초목이) 몹시 우거지다.</p><ul><li><p>풀이 우거져 있다.</p></li></ul></li></ol>",V.03466,VV
yRXV3z%:~$,追いすがる,おいすがる,oisugaru,追う,おう,ou,すがる,すがる,sugaru,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>後を追って取りすがる。</p><ul><li><p>子供が母親に追いすがった。 (Kodomo ga hahaoya ni oisugatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To follow and cling to.</p><ul><li><p>The child followed its mother, clinging to her.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>뒤를 쫓아가 매달리다.</p><ul><li><p>아이가 어머니를 뒤쫓아가 매달렸다.</p></li></ul></li></ol>",V.06868,VV
AZ@>DI1_/!,追い出す,おいだす,oidasu,追う,おう,ou,出す,だす,dasu,他,N1ガ|N2ヲ|N3カラ|N4ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>追い立てて外に出す。</p><ul><li><p>彼は野良犬を家から外へ追い出した。 (Kare wa norainu o ie kara soto e oidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To chase outside.</p><ul><li><p>He chased the stray dog out of his house.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>쫓아서 밖으로 내다.</p><ul><li><p>그 남자는 들개를 집에서 밖으로 쫓아내었다.</p></li></ul></li></ol>",V.01571,VV
y6EQ1b4Pf(,生い立つ,おいたつ,oitatsu,生う,おう,ou,立つ,たつ,tatsu,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>草木が生えて立つ（大きくなる）。</p><ul><li><p>雑草が生い立っている。 (Zassō ga oitatte iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>For plants to grow and stand (become tall).</p><ul><li><p>The weeds have grown up.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>초목이 나서 자라다 (커지다).</p><ul><li><p>잡초가 자라 있다.</p></li></ul></li></ol>",V.09210,VV
K<;%d2-5{%,追い立てる,おいたてる,oitateru,追う,おう,ou,立てる,たてる,tateru,他,(1)N1ガ|N2ヲ|N3ニ；(2)N1ガ|N2ヲ|N3ニ,"<ol style=""""><li><p>無理に他の場所に行かせる。</p><ul><li><p>母親は子供たちを子供部屋に追い立てた。 (Hahaoya wa kodomotachi o kodomobeya ni oitateta.)</p></li></ul></li><li><p>後ろから追い掛けるようにして、せきたてる（せかす）。</p><ul><li><p>私は毎日、仕事に追い立てられている。 (Watashi wa mainichi, shigoto ni oitaterarete iru.)</p></li></ul></li></ol>","<ol style=""""><li><p>To force to go to another place.</p><ul><li><p>The mother shooed the children into the nursery.</p></li></ul></li><li><p>To hurry someone along as if by chasing.</p><ul><li><p>I am always swamped with work.</p></li></ul></li></ol>","<ol style=""""><li><p>무리하게 다른 장소로 보내다.</p><ul><li><p>엄마는 아이들을 아이들 방으로 몰아 넣었다.</p></li></ul></li><li><p>뒤에서 쫓듯이 하여, 다그치다 (재촉하다).</p><ul><li><p>나는 매일, 일에 쫓기고 있다.</p></li></ul></li></ol>",V.04057,Vs
i:6ixgK#SN,追い散らす,おいちらす,oichirasu,追う,おう,ou,散らす,ちらす,chirasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（集団で来たものを）追い立てて、散り散りにさせる。</p><ul><li><p>彼は一人で軍勢を追い散らした。 (Kare wa hitori de gunzei o oichirashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To chase off and disperse (a group).</p><ul><li><p>He routed the enemy soldiers all by himself.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(집단으로 온 것을) 내몰아, 뿔뿔이 흩어지게 하다.</p><ul><li><p>그는 혼자서 군대를 내몰아 흩트렸다.</p></li></ul></li></ol>",V.10267,VV
xkO9nfL[LU,追い付く,おいつく,oitsuku,追う,おう,ou,付く,つく,tsuku,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>後を追って、相手に付く（相手と一緒になる／同じ地位になる）。</p><ul><li><p>私はやっと先頭のランナーに追い付いた。 (Watashi wa yatto sentō no rannā ni oitsuita.)</p></li><li><p>生産が需要に追い付かない。 (Seisan ga juyō ni oitsukanai.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To follow behind and reach the other (join the other/attain the same rank).</p><ul><li><p>I finally caught up with the lead runner.</p></li><li><p>Production can’t keep up with demand.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>뒤쫓아, 상대를 따라잡다. (상대와 같게 되다/ 같은 지위가 되다).</p><ul><li><p>나는 드디어 선두주자에 따라붙었다.</p></li><li><p>생산이 수요를 따라잡지 못한다.</p></li></ul></li></ol>",V.01306,VV
